ID,Type of Defect,Date Recorded,Stage Detected,Description,Risk,Part Involved,Car Model
1598,Other,6/25/2023,Production,Pass card western coach us magazine.,Low,Engine,Truck
1599,Electrical,1/13/2023,After Sales,Simply decade nice husband.,Low,Engine,Hatchback
1600,Electrical,2/19/2020,Customer Delivery,Less and involve.,Low,Interior,SUV
1601,Electrical,7/12/2023,Production,And smile southern play require player material culture.,High,Brakes,Hatchback
1602,Mechanical,9/28/2021,Testing,Pass military thus president evening them light.,Low,Engine,SUV
1603,Software,4/21/2020,After Sales,Nor including authority man often.,Medium,System,Truck
1604,Other,12/12/2014,Testing,Happy its dog center six forget.,Medium,Brakes,SUV
1605,Electrical,12/10/2016,Production,Finish bag practice green never subject.,Low,Transmission,SUV
1606,Other,11/25/2017,Testing,Eye house build community.,Low,Interior,Hatchback
1607,Mechanical,6/20/2022,After Sales,Heart knowledge defense.,Low,Electrical System,SUV
1608,Body,4/6/2022,Customer Delivery,Consumer staff result nearly stuff set.,Low,Interior,Hatchback
1609,Electrical,1/10/2017,Customer Delivery,Small material bag together.,Low,Body Panels,Truck
1610,Body,5/25/2019,After Sales,Data something base.,High,Transmission,Sedan
1611,Electrical,1/3/2018,After Sales,Sense town subject worker car generation ability.,High,Other,Hatchback
1612,Software,5/5/2022,Customer Delivery,Glass size mission.,High,System,Hatchback
1613,Body,12/10/2017,Testing,Sing media catch happen material.,High,Other,Sedan
1614,,4/18/2022,,,,,
1615,Other,11/6/2023,Production,Wind collection happy hotel low cup.,Medium,Brakes,Hatchback
1616,Mechanical,1/27/2019,After Sales,Ready international all physical care strong.,Medium,Body Panels,SUV
1617,Body,1/27/2021,Customer Delivery,Result either stage item against Congress suffer.,High,Electrical System,SUV
1618,Mechanical,12/4/2011,After Sales,Red plan miss because.,Low,Engine,Hatchback
1619,Body,1/30/2023,Production,Remain Mr world break man.,High,Brakes,Truck
1620,Other,4/26/2016,Production,Address them do entire some nor.,High,Suspension,SUV
1621,Electrical,6/17/2023,Testing,Full major court enough still rather.,Low,Other,Hatchback
1622,Mechanical,12/10/2011,Production,Film cause financial watch top stop.,High,Suspension,Hatchback
1623,Electrical,11/6/2018,Testing,Mrs hot new table door positive.,Low,Brakes,SUV
1624,Body,5/16/2021,After Sales,Return war store night indicate.,Low,Electrical System,SUV
1625,Body,5/13/2014,Customer Delivery,Society close American almost until cause.,High,Body Panels,Hatchback
1626,Other,10/28/2015,Production,Behavior open message role American vote.,Low,Engine,Hatchback
1627,Other,4/12/2019,Production,When election idea summer not.,Medium,Other,Sedan
1628,Mechanical,2/14/2013,Testing,Class admit throughout you.,Low,Transmission,Truck
1629,Mechanical,7/26/2021,Production,Different family role simply.,High,Body Panels,Sedan
1630,Other,6/14/2023,Production,Candidate citizen agreement list middle.,Medium,Body Panels,Truck
1631,Mechanical,9/16/2023,After Sales,Kitchen magazine each yourself.,Low,Engine,Truck
1632,Other,7/30/2017,Testing,Dinner control somebody charge understand.,Low,Electrical System,SUV
1633,Other,7/11/2023,After Sales,Thought health body media learn exist.,Medium,Transmission,Truck
1634,Electrical,12/9/2019,Testing,Possible evidence reach just.,Medium,Engine,SUV
1635,Software,12/19/2023,After Sales,Character either race half reach.,Low,System,Truck
1636,Mechanical,8/13/2021,After Sales,Other various cause local task.,High,Suspension,Truck
1637,Software,10/31/2014,After Sales,Story spend reason speech fly.,Low,System,SUV
1638,Other,1/6/2023,Production,Quickly design dog need mean green worry.,Low,Suspension,Sedan
1639,Software,7/25/2023,Customer Delivery,School just draw pressure remember.,Low,Other,Hatchback
1640,Body,2/25/2021,After Sales,Image discuss free plant participant civil.,Low,Other,Hatchback
1641,Other,4/30/2023,After Sales,Firm never suddenly prove.,High,Other,Hatchback
1642,Software,10/28/2017,Customer Delivery,Brother hope item attorney.,Low,System,Sedan
1643,Other,8/10/2021,Customer Delivery,Their company cultural significant figure.,High,Body Panels,Truck
1644,Mechanical,9/16/2018,Customer Delivery,That result look notice cost.,Medium,Engine,Sedan
1645,Body,12/31/2017,Testing,Me west foot support from.,High,Interior,SUV
1646,Body,2/4/2023,After Sales,Professor laugh anything say agreement summer year great.,Low,Transmission,Truck
1647,Other,7/3/2020,Production,Fine relate seat factor new stuff answer spring.,Medium,Suspension,SUV
1648,Mechanical,6/15/2016,Production,Short material hospital business concern.,Low,Body Panels,Sedan
1649,Body,1/23/2016,Testing,House source among dark development.,Medium,Body Panels,Hatchback
1650,Software,5/14/2016,Customer Delivery,Eight though by simple gas.,High,Other,Truck
1651,Other,11/12/2020,Testing,Deal health thus common sing.,Low,Body Panels,Hatchback
1652,Body,7/13/2014,After Sales,Painting range power wear piece bit up.,Low,Electrical System,Truck
1653,Software,11/26/2019,Customer Delivery,Task public suffer economic machine relate.,High,Other,SUV
1654,Electrical,7/1/2020,Testing,Right music reach road war second.,Low,Electrical System,Hatchback
1655,Body,8/8/2022,Testing,Current Mrs where.,Medium,Suspension,Sedan
1656,Electrical,2/28/2021,Production,Challenge mean notice herself yourself.,High,Engine,Hatchback
1657,Software,12/10/2020,Testing,However authority film out mention.,Medium,System,Truck
1658,Other,4/6/2022,Customer Delivery,Area finally material left.,Low,Electrical System,SUV
1659,Other,2/17/2022,Testing,Finally animal sport effect.,Medium,Body Panels,SUV
1660,Electrical,12/15/2019,Testing,It agree decade chair stock position onto.,High,Suspension,Hatchback
1661,Electrical,10/26/2023,Production,Last among throughout north car treatment partner hope.,Medium,Other,Hatchback
1662,Other,1/7/2016,Production,Product stand concern agent.,Medium,Brakes,Hatchback
1663,Software,4/9/2022,After Sales,Set pressure away economic.,Medium,Other,Hatchback
1664,Other,7/4/2021,After Sales,Produce with laugh course lead.,Medium,Transmission,Sedan
1665,Electrical,7/10/2020,Customer Delivery,Ever range nearly.,Low,Engine,SUV
1666,Mechanical,8/3/2022,Testing,Process light try as.,Medium,Interior,Hatchback
1667,Electrical,3/2/2023,Production,Somebody offer second among deep claim.,Medium,Suspension,Truck
1668,Software,3/29/2014,After Sales,Away administration small save drug.,High,System,Sedan
1669,Software,10/22/2021,Customer Delivery,But small couple our ball get.,High,Other,Hatchback
1670,Software,1/23/2016,After Sales,Unit wife ground seven.,High,Other,Hatchback
1671,Body,9/20/2022,Testing,Easy real themselves wide three month act.,High,Engine,SUV
1672,Body,5/5/2023,Testing,Now we class range shoulder education drive beat.,Low,Other,Truck
1673,Other,6/19/2022,After Sales,Must election play TV.,Medium,Suspension,Hatchback
1674,Electrical,1/22/2022,Testing,Care level also significant.,High,Electrical System,Hatchback
1675,Other,8/23/2021,Testing,Image growth main.,Medium,Brakes,SUV
1676,Body,12/26/2023,Customer Delivery,Out concern at page.,Medium,Other,Truck
1677,Software,7/27/2016,After Sales,Time wonder arrive catch society ready phone.,Low,System,Sedan
1678,Mechanical,12/18/2019,Customer Delivery,Start such participant management.,Low,Electrical System,Truck
1679,Software,10/22/2017,After Sales,Yes short political feeling surface up picture.,Medium,Other,SUV
1680,Electrical,1/15/2020,Testing,Kind without career involve dream.,Low,Body Panels,Truck
1681,Body,2/12/2023,Customer Delivery,Book consider option major.,Low,Engine,Sedan
1682,Body,4/7/2015,Customer Delivery,Offer market base.,Medium,Interior,Truck
1683,Electrical,9/12/2020,Customer Delivery,His everybody similar human.,Low,Suspension,Truck
1684,Mechanical,8/7/2021,Testing,Individual phone space since guess allow power school.,Low,Transmission,Sedan
1685,Electrical,5/20/2023,Production,Laugh half training increase.,Low,Other,Sedan
1686,,5/29/2022,,,,,
1687,Mechanical,10/18/2023,Customer Delivery,Note statement letter national.,Low,Suspension,Sedan
1688,Other,5/28/2023,Production,Their somebody instead fall.,Medium,Other,SUV
1689,Electrical,1/28/2022,Customer Delivery,Almost day history bill describe other.,Medium,Brakes,Hatchback
1690,Other,11/30/2023,Testing,Somebody maintain nearly identify keep professor notice.,High,Transmission,Sedan
1691,Electrical,8/20/2022,Production,Late budget explain whose.,Low,Brakes,Truck
1692,Body,6/11/2021,Customer Delivery,Mean guess appear memory share.,Medium,Electrical System,Sedan
1693,Electrical,6/6/2018,Production,Serious dream then into best serious individual.,Low,Interior,Truck
1694,Mechanical,3/1/2023,Production,Single view hundred present total like.,Low,Suspension,Hatchback
1695,Body,4/27/2022,Production,Oil rest difficult read high parent sister.,Medium,Electrical System,Truck
1696,Software,7/29/2022,Testing,Before spend him feel.,High,System,Sedan
1697,Other,12/20/2021,After Sales,Worker easy nice evening director plant citizen attorney.,Low,Interior,Truck
1698,Mechanical,3/19/2019,Testing,Themselves child understand.,Medium,Brakes,Hatchback
1699,Software,9/19/2022,Production,Whole nation reason according act technology poor soldier.,Low,System,Sedan
1700,Body,4/28/2021,After Sales,Sing military happen partner popular my either.,Medium,Suspension,Hatchback
1701,Software,12/5/2020,Testing,Defense real door decision popular child sing any.,Low,System,Hatchback
1702,Electrical,9/28/2022,Customer Delivery,Action toward million according political.,High,Brakes,Sedan
1703,Electrical,12/15/2021,Testing,Political defense fine record indicate.,Medium,Other,Sedan
1704,Mechanical,3/22/2019,After Sales,A name scene identify program leave.,High,Body Panels,Hatchback
1705,Software,6/30/2022,Customer Delivery,Other face than later have your Democrat heavy.,Medium,System,Truck
1706,Body,1/19/2022,Customer Delivery,Figure mouth scene back kitchen make population.,Medium,Brakes,Hatchback
1707,Other,10/20/2017,Testing,Tough conference science financial.,Low,Electrical System,SUV
1708,Body,8/10/2022,Customer Delivery,Enough yeah now treatment bar own say.,Medium,Transmission,Truck
1709,Electrical,5/24/2023,After Sales,Read approach skill yet.,High,Suspension,Sedan
1710,Electrical,11/18/2012,After Sales,Someone community him body especially.,Medium,Other,Hatchback
1711,Mechanical,12/31/2014,Testing,Behavior fear view you spring reveal prove.,High,Engine,SUV
1712,Mechanical,7/25/2011,After Sales,Stuff effort spring our condition.,Medium,Body Panels,Truck
1713,Body,12/2/2023,After Sales,Less hundred send north than couple.,Low,Engine,Sedan
1714,,1/24/2022,,,,,
1715,Electrical,7/7/2022,Customer Delivery,Down during beat reduce.,High,Brakes,Sedan
1716,Electrical,4/18/2020,Customer Delivery,Find idea six management.,Medium,Interior,Hatchback
1717,Body,9/2/2021,After Sales,She total defense positive.,High,Interior,Hatchback
1718,Software,6/25/2016,Customer Delivery,Democratic pressure part late cost.,Low,Other,Hatchback
1719,Mechanical,9/13/2020,After Sales,American piece suggest.,Medium,Electrical System,Truck
1720,Software,3/18/2022,After Sales,Price really land industry various.,Medium,Other,Truck
1721,Body,7/26/2022,Customer Delivery,Defense alone pull gun bar opportunity either.,Low,Transmission,Truck
1722,Mechanical,7/2/2023,Customer Delivery,Father training other report public require be.,Medium,Interior,Truck
1723,Other,1/17/2022,Production,Way hold minute determine word couple body.,High,Other,Sedan
1724,Software,5/6/2023,Customer Delivery,Entire keep next rather religious ground.,Medium,Other,SUV
1725,Software,3/1/2016,After Sales,Store morning series car stock.,High,Other,Truck
1726,Electrical,12/21/2023,After Sales,Ever detail song rule strategy board accept.,Medium,Suspension,Hatchback
1727,Other,1/23/2016,After Sales,Resource second his machine beautiful.,Low,Transmission,SUV
1728,Body,3/2/2022,Testing,Employee key decide reduce drop own.,High,Body Panels,Truck
1729,Software,1/8/2022,Production,Simple show such lead throughout deep.,High,Other,SUV
1730,Other,10/26/2016,After Sales,Show safe meeting guess.,Medium,Other,Truck
1731,Electrical,4/15/2023,Testing,Concern baby available past significant.,High,Suspension,Sedan
1732,Mechanical,10/6/2022,Customer Delivery,Audience than like yet which here community.,Medium,Transmission,Truck
1733,Body,11/25/2014,After Sales,Me far institution prepare open nature.,Medium,Engine,Hatchback
1734,Mechanical,10/12/2022,Production,Cover little important measure article beautiful shake.,Medium,Brakes,Sedan
1735,Electrical,8/20/2019,Production,Guy control structure family and.,Low,Transmission,Truck
1736,Mechanical,12/20/2019,Testing,Who interesting drop help support expert discussion.,Medium,Body Panels,SUV
1737,Other,8/26/2017,Testing,Although Mrs only public.,Low,Body Panels,Sedan
1738,Software,12/12/2015,Production,Lead economic quickly left effect drive.,High,Other,Sedan
1739,Mechanical,10/4/2023,Production,Always card thus before forward movement herself.,Low,Interior,SUV
1740,,4/12/2018,,,,,
1741,Software,4/16/2013,Testing,Owner rise past local seek great return.,Low,System,Sedan
1742,Electrical,11/30/2023,Production,History rule young list participant.,Medium,Suspension,SUV
1743,Mechanical,1/18/2021,Customer Delivery,Show strategy teach experience whole between candidate positive.,High,Transmission,Sedan
1744,Software,3/17/2020,Customer Delivery,Rich language visit far.,High,System,Truck
1745,Mechanical,4/14/2020,Production,Speech level value low upon.,High,Transmission,SUV
1746,Software,7/27/2020,Testing,Else season him white blood.,Low,Other,Hatchback
1747,Other,1/1/2023,Production,Between serious kitchen major door ground guy area.,High,Transmission,Hatchback
1748,Software,9/4/2016,Testing,Home figure some.,High,System,Truck
1749,Electrical,6/8/2023,After Sales,Its majority tend national until bar government anyone.,High,Interior,Sedan
1750,Other,2/11/2022,After Sales,Want me around meeting left much field.,High,Electrical System,SUV
1751,Body,8/25/2021,Testing,Middle arrive wife.,Medium,Transmission,SUV
1752,Electrical,8/31/2022,Customer Delivery,Ok receive other knowledge science anyone.,Medium,Engine,Sedan
1753,Electrical,3/18/2021,Customer Delivery,Form matter easy walk top war.,High,Other,Hatchback
1754,Electrical,10/3/2019,After Sales,Fast relationship employee fund degree shake local.,High,Electrical System,Truck
